Entry Time,Profit,Entry Price,Exit Price,Entry Name,H1,L1,O1,C1,V1,HiLo1,H2,L2,O2,C2,V2,HiLo2,H3,L3,O3,C3,V3,HiLo3,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31
2/12/2008 12:30:00 PM,1,73.21875,72.875,R1 Sell,1.00042553191489,0.998723404255319,1,1,1,0.998127659574468,1.00127659574468,0.999574468085106,1,1.00042553191489,0.953740949316171,0.998127659574468,1,0.998723404255319,0.998723404255319,0.999574468085106,0.518503620273532,0.998085106382979,1,0.09375,14.918171143403,97.0464135021191,0.124179870340663,0.998829787234043,18.7370769034456,0.015530303030303,0.510204081632653,59.4019167583164,0.456757843925986,0.027,8222.30797633136,23.3749180273228,0,1.80419785703802,38.9065656565656,90,1,37.517696069462,114500,1,49.6954856961383,-27.2727272727273,1.03703703703704,1.57186182527216,18.219750645839,0.829606430111821,0,23.1523497952132,1
2/14/2008 2:45:00 PM,1,71.53125,70.8125,R1 Sell,1.00043421623969,0.996960486322188,1,1,1,0.99691706469822,1.00086843247937,0.997828918801563,0.997828918801563,1.00043421623969,0.662444203160816,0.997047329570126,0.998263135041251,0.996526270082501,0.997394702561876,0.998263135041251,0.282181204005308,0.999218410768563,1,0.1875,49.3701569274049,106.060606060587,0.165968072349757,0.998588797221016,18.7607186885478,0.0244318181818182,0.452380952380952,55.1361891126637,0.408960670768488,0.075,7612.62140613675,24.742851672685,0.111111111111111,1.58501419668867,41.5021645021644,90,1,69.0129775963799,140000,1,52.4722998098315,-20,1.02173913043478,1.88784263027901,8.20668924594163,0.905573556895223,1,25.3707619299653,1
2/19/2008 5:00:00 PM,0,70.71875,70.25,R1 Buy,1.00132802124834,0.992474546259407,0.99468791500664,1,1,1.00035413899956,0.99601593625498,0.993802567507747,0.995130588756087,0.994245241257193,0.497843369418133,1.00008853474989,0.997786631252767,0.9933598937583,0.995573262505533,0.995130588756087,0.604977165087957,1.0003984063745,1,-0.09375,2.76330146512482,-22.2222222222157,0.217476995598841,0.998395307658256,37.6339558731991,-0.0350378787878788,-0.633333333333333,55.6187508200078,0.332377473782138,-0.008,4930.60822457523,40.4285549486589,0.15,2.1088678790192,49.7442374051068,50,1,50.1963643243319,161500,0,37.2247412638615,-32,0.883116883116883,0.715277699471912,-9.25070728138763,0.833951324567002,0,52.8452188004802,1.68
2/20/2008 11:00:00 AM,0,69.84375,70.21875,R1 Sell,1.00178015131286,0.999109924343569,1.00089007565643,1,1,0.997418780596351,1.00178015131286,0.998664886515354,1,1.00044503782822,1.14907947911989,0.997196261682243,1.00089007565643,0.999109924343569,1,0.999554962171785,0.694881005837449,0.997018246550957,1,0.28125,12.0082566290008,81.955922865015,0.168708792057683,0.999443702714731,18.7323624956543,0.0371212121212121,-6.42857142857143,55.7330973862612,0.535754378087113,0.136,3808.63037022372,41.8331114478045,0.444444444444445,1.7694429893487,68.7280497280496,100,1,51.5829265100831,101500,1,63.2398226794025,-30.7692307692308,1.23809523809524,3.63120348549762,14.2396417376939,0.879019318533159,1,36.9939235174126,0.5
2/21/2008 1:15:00 PM,0,70.21875,70.65625,R1 Sell,1.00221533008418,0.999556933983163,1.00044306601684,1,1,0.997297297297297,1.00132919805051,1.00044306601684,1.00044306601684,1.00044306601684,0.76646861276156,0.997075764288879,1.00088613203367,0.999113867966327,0.999556933983163,1.00044306601684,1.01084990958409,0.996898537882144,1,0.25,-5.89036779349085,102.04081632654,0.172376333709844,0.998892334957909,16.0669098613007,0.0354166666666667,2.14285714285714,59.3886257663128,0.853978300180832,0.207,6084.47384767069,43.3299625362215,0.333333333333333,1.08407068491769,53.2278832278831,100,1,45.2517334872695,123000,1,70.7248775574273,-31.25,1.2093023255814,0.972478184551987,20.8603206953044,0.854555065330672,1,35.6863207914745,0.75
2/21/2008 2:45:00 PM,1,70.65625,71.59375,R1 Buy,1.00044365572316,0.996007098491571,0.996894409937888,1,1,1.00119787045253,1.00133096716948,0.996894409937888,1.00133096716948,0.996894409937888,1.4517118037813,1.00097604259095,1.00354924578527,1.00088731144632,1.00177462289264,1.00133096716948,0.659342531084994,0.998624667258208,0,-0.03125,-17.16073850924,-53.0303030302967,0.198999830304973,1.00016637089618,17.0306159641283,0.00965909090909642,0.0595238095238095,52.0679915561977,0.805697496167603,-0.035,6045.33149334648,45.4235541121532,-0.0909090909090909,1.28710603738351,56.5366006542476,80,1,50.908233428829,140000,0,51.816805239705,-47.0588235294118,0.96551724137931,0.781945849683045,0.120994662757602,0.556800184794804,0,36.769782213493,1
2/25/2008 5:00:00 PM,0,70.125,70.15625,R1 Sell,1.00618647812638,1,1.00220945647371,1,1,0.999292973928414,1.00397702165267,1.00088378258948,1.00353513035793,1.00220945647371,0.31297804401099,0.999734865223155,1.00486080424216,0.999116217410517,1.00088378258948,1.00397702165267,0.383252060694572,1.00004418912947,0,-0.125,-31.7843848361303,43.6363636363484,0.220565864013477,1.00044189129474,29.8930221317876,-0.000757575757575758,-0.952380952380952,38.593486761734,0.276792123567415,0.079,7380.84969821875,47.643091535177,-0.0285714285714286,2.04272443743922,37.4725483494832,100,1,53.5552523940158,161500,1,53.7407915778454,-63.6363636363636,0.917808219178082,2.03709640059625,-14.6268005725296,0.553808029665293,1,39.1364401524018,0.863636363636364
2/26/2008 10:15:00 AM,0,70.0625,70.28125,R1 Sell,1.00044523597507,0.997773820124666,1,1,1,0.998486197684773,1,0.999109528049866,1,1,0.243994601889339,0.99839715048976,1.00089047195013,0.999554764024933,1,1,0.385964912280702,0.998085485307213,1,0.03125,31.7092034029395,37.037037037037,0.141758633961179,0.9993321460374,33.5355408963474,0.00776515151515151,1.58730158730159,53.1474237427001,0.319905533063428,0.058,6012.34394336914,25.4659823065363,0.0666666666666667,1.69837587006961,76.5837383863698,80,1,55.0692232193231,93000,1,53.9035322396094,-28.5714285714286,1,12.5587561896406,6.95880044004154,1,1,40.5438525486595,1
2/28/2008 12:30:00 AM,1,70.34375,72.4375,R1 Buy,1.00177856825256,0.999555357936861,1,1,1,1.00071142730102,1.00444642063139,0.999555357936861,0.999555357936861,1,1.90845005950746,1.0012894619831,1.0022232103157,0.999555357936861,1.00044464206314,0.999555357936861,2.4711159937746,1.00195642507781,1,0.3125,-13.6991957665162,56.7901234567962,0.286952420927234,0.997498888394842,24.3821344280298,0.0285984848484904,-4.5,52.9353381634661,2.10616359974366,-0.12,4814.64777568612,37.3173473380296,-0.106382978723404,0.851400472710478,37.2229618738725,0,1,44.3947854584148,230000,1,62.1029641349319,-34.4827586206897,1,1.91992533687867,4.40948073840475,0.903321281707135,1,43.5748220212211,1.05882352941176
2/29/2008 9:30:00 AM,1,72.6875,73.8125,R1 Buy,1.0004312203536,0.998706338939198,0.999568779646399,1,1,1.00159551530832,1.0008624407072,0.999568779646399,1.0004312203536,0.999568779646399,0.501416430594901,1.00168175937904,1.0008624407072,1.0004312203536,1.0004312203536,1.0008624407072,0.212464589235127,0.99974126778784,0,-0.21875,-22.1686135093911,-79.3650793650701,0.154594590188849,1.0001617076326,52.464954017571,-0.0210227272727218,0.0992063492063492,62.4401008626189,0.697237960339943,0.03,7200.86892390211,29.3382598604573,-0.142857142857143,0.819366852886406,45.6378868666019,20,0,33.3333333333333,84500,0,52.4496146135511,-72.7272727272727,0.925925925925926,0.725265679278796,25.7950688209995,0.0694816647024562,0,49.4158777639566,1.96428571428571
